Title,Author,Time,News Content
Artist Drew Friedman has an exhibit at Ohio State University,Mark Frauenfelder,2019-11-06T14:00:08Z,"A while back we ran some pages from Drew Friedman's new book All the Presidents, which has a portrait of every U.S. President, drawn by Drew. If you happen to be anywhere near Ohio State University, do yourself a favor and see Drew's ""Drawn to Presidents” exh…"
Vegetables Do Not Have Gender,"Beth Skwarecki on Vitals, shared by Beth Skwarecki to Lifehacker",2019-11-05T21:00:00Z,"Have you heard that female watermelons are sweeter than male ones? That male eggplants are less bitter than female ones? That male peppers have fewer seeds? Well, you heard wrong. Read more..."
University of Texas Closes Pi Kappa Phi Fraternity Over Hazing Claims,Associated Press,2019-11-01T18:02:27Z,The University of Texas chapter of Pi Kappa Phi fraternity has been shut down following a university investigation into hazing allegations.
"In a Liberal State, Ambivalence About Lifting a Ban on Affirmative Action",Mike Baker,2019-11-04T14:36:18Z,"Gary Locke, a former governor of Washington, is trying to persuade fellow Asian-Americans to support a measure on Tuesday’s ballot."
University of Chicago projected to be the first U.S. university to cost $100k/yr,,2019-11-04T15:59:22Z,A great deal of college tuition inflation has been driven by an enrollment strategy to dole out more institutional aid to a growing number of students.
"Professors, Beware. A ‘Student Information Officer’ Might Be Watching.",Javier C. Hernández,2019-11-01T07:00:06Z,"In a throwback to the Mao era, China is deploying students as watchdogs against teachers. It’s part of a campaign by President Xi to eliminate dissent."
Circuit for building memories during sleep discovered: U of A researchers - Edmonton Sun,,2019-11-02T21:15:00Z,A circuit for developing long-term memories while you sleep — the kind that can help you ace a test if you’ve studied the night before — has been discovered by University of Alber…
The Universe May Be Round—and That Would Be Bad News for Physicists,Ryan F. Mandelbaum,2019-11-06T14:46:00Z,"Scientists analyzing data from a defunct satellite say we should all consider that our universe might be round, rather than flat. The consequences, they explain in a new paper, could be crisis-inducing. Read more..."
10-Year Proton Measurement Mystery Is Probably Solved,Ryan F. Mandelbaum,2019-11-06T18:17:00Z,A precise new measurement of the size of the proton shows a decade-long problem may now have a solution. Read more...
These Rats Drive Tiny Cars—for Science,Matt Simon,2019-11-01T16:48:59Z,The rodents that lived in an enriched environment did better at drivers' ed than the rats brought up in standard cages. The implications are fascinating.
Warren Health Plan Tightens Democrats’ Embrace of Tax Increases,Jim Tankersley,2019-11-02T16:24:58Z,A ‘Medicare for all’ proposal would push the boundaries of taxing corporations and the rich to fund expanded government programs.
A new hack uses lasers to send inaudible commands to your Amazon Echo,Ravie Lakshmanan,2019-11-05T10:23:40Z,"A new photoacoustic flaw in voice assistants such as Siri, Alexa, and Google Assistant can render them vulnerable to a number of attacks that use lasers to inject inaudible commands into smartphones and speakers, and surreptitiously cause them to unlock doors…"
"WWE Survivor Series 2019 - Matches, predictions and start time - digitalspy.com",Mayer Nissim,2019-11-05T14:09:00Z,"WWE Survivor Series 2019 - Matches, predictions and start time digitalspy.com Adam Cole vs. Seth Rollins – NXT Championship Match: Raw, Nov. 4, 2019 WWE This week's 205 Live airing from Full Sail University Figure Four Online Two Matches Announced For WWE Sma…"
Kansas to add varsity League of Legends in 2020,,2019-11-05T21:07:21Z,"Kansas will field a varsity esports team starting in the spring semester, the university announced Tuesday. It will join the National Association of Collegiate Esports."
Turns out woman covered in blood after wrecking her car was just dressed as Carrie,Morgan Sung,2019-11-01T19:00:02Z,"A student who crashed her car gave first responders and passerby a scare because she was drenched in blood. She was fine, though — it was just part of her Halloween costume. Sidney Wolfe, a 20-year-old student at Marshall University, donned a white gown, cove…"
Alaska is having a hell of a time growing sea ice,Mark Kaufman,2019-11-01T09:00:00Z,"Alaska, a rapidly changing realm, will never cease to amaze Rick Thoman, a veteran climate scientist at the Alaska Center for Climate Assessment and Policy — even after a year of broken heat records and unprecedented losses of ice. Now in the deep of fall, Al…"
Why Social Media Companies Frown on 'Gaming the Algorithm',Emma Grey Ellis,2019-11-05T18:45:42Z,"A new study examines how platforms talk about people who break their rules—sportily, morally, and sometimes hypocritically."
Man Accused of Murder in Texas Shooting Is Released From Jail,Mihir Zaveri,2019-11-06T04:25:39Z,"Brandon Ray Gonzales was arrested the day after two people were killed at a crowded homecoming party in October. Now, the authorities want the capital murder charge against him to be dropped."
Lori Loughlin Pleads Not Guilty to New College Admissions Scandal Charge,Kate Taylor,2019-11-01T17:17:03Z,"Ms. Loughlin and her husband, Mossimo Giannulli, have continued to maintain their innocence as prosecutors’ counts against them have grown."
The Sims 4 Discover University is a millennial horror game,Craig Pearson,2019-11-06T14:56:06Z,"It’s comforting to know that The Sims 4 is still ticking along with new expansions. The world doesn’t need to hold its breath waiting, wondering, worrying about more Sims. We’re getting more. We’re always getting more. We’re getting more in about 9 days. The …"
University of Texas fraternity closes over hazing claims,Associated Press,2019-11-01T20:39:17Z,"The University of Texas chapter of the Pi Kappa Phi fraternity has been shut down following a university investigation into hazing allegations, the third such accusation the chapter has faced in eight years. The investigation revealed that during the 2018-19 …"
Satellites track real-time damage of ocean blob menacing Hawaii,Justine Calma,2019-11-01T19:49:21Z,A blob menacing Hawaii is now visible from space. A massive heatwave in the Pacific Ocean is killing off coral. Satellites are capturing the destruction so that scientists can learn how to rebuild the reefs.
"Trump to nominate new head of FDA amid vaping, e-cig crisis",Stephanie Ebbs,2019-11-01T18:57:25Z,"President Donald Trump plans to nominate Stephen Hahn, an oncologist and executive at the MD Anderson Cancer Center at the University of Texas, to take over the FDA."
North Carolina Lawmakers Pass Bill to Close Sexual Assault Loopholes,Mariel Padilla,2019-11-02T00:37:24Z,Current law prevents women from revoking consent.
Lori Loughlin Pleads Not Guilty to New College Admissions Scandal Charge,Kate Taylor,2019-11-01T17:17:04Z,"Ms. Loughlin and her husband, Mossimo Giannulli, have continued to maintain their innocence as prosecutors’ counts against them have grown."
Ocasio-Cortez Apologizes for Blocking Critic on Twitter,Michael Gold,2019-11-04T19:42:44Z,The congresswoman faced a lawsuit from a former Brooklyn politician who said her actions were unconstitutional.
A Showcase Start to the College Basketball Season in N.Y.C.,Adam Zagoria,2019-11-06T06:46:31Z,"The four top men’s teams entering the season played at Madison Square Garden in the Champions Classic, with the favorite falling in each game — Michigan State to Kentucky and Kansas to Duke."
Researchers want to pay people thousands to be infected with the flu - WGHP FOX 8 Greensboro,http://www.facebook.com/fox8news,2019-11-02T16:51:00Z,Researchers want to pay people thousands to be infected with the flu WGHP FOX 8 Greensboro Researchers are paying people to be deliberately infected with the flu virus WJW FOX 8 News Cleveland Researchers paying people to be infected with flu virus KPRC Click…
When the General Met the Gingerbread Man,Laura M. Holson,2019-11-02T14:00:53Z,"After helping kindergartners in Georgia with a class project in 2007, Brig. Gen. Vincent Buggs continued writing the students letters for years. Last month, he finally met his pen pals in person."
Wildfire Chasers Are the New Tornado Chasers,Matt Simon,2019-11-01T11:00:00Z,A strike team of specially trained researchers drive a highly sophisticated truck into the literal line of fire. Their mission: unravel the extreme complexities of wildfire.
Florida State fired head coach Willie Taggart after just 21 games and the quick hook could cost the school $20 million,"feedback@businessinsider.com (Meredith Cash), Meredith Cash",2019-11-03T22:32:59Z,Mark Wallheiser/AP Florida State has fired head coach Willie Taggart after just 21 games at the helm. Taggart led the Seminoles to a 9-12 record and failed to notch a single win against either of the school's in-state rivals — the Miami Hurricanes and the Flo…
These Maple Pod Inspired Drones Silently Carry Payloads,Sharon Lin,2019-11-02T08:00:00Z,Researchers from the Singapore University of Technology and Design (SUTD) recently released a video showing their nature-inspired drone that is capable of breaking out into five separate smaller drones. The drones each have auto-rotating wings that slow their…
Laser-Based Audio Injection on Voice-Controllable Systems,Pat Whetman,2019-11-06T12:00:00Z,"In one of the cooler hacks we’ve seen recently, a bunch of hacking academics at the University of Michigan researched the ability to flicker a laser at audible sound frequencies to see if they could remotely operate microphones simply by shining a light on th…"
The Exhaustion Is Real,Jessica Grose,2019-11-06T13:29:27Z,Why more sleep isn’t always the answer.
Opinion: Here's why Trump moved to Florida,Opinion by Edward J. McCaffery,2019-11-01T19:47:20Z,"Donald Trump's new address may indeed be about taxes, as he himself suggests, but just not about paying taxes (which he doesn't do).  Instead, the move seems inspired by attempts to disclose Trump's taxes, which the President also very much does not like to d…"
Suspect on ATV Leads Philly Police on Winding Chase After Double Shooting,Tom McKay,2019-11-06T04:45:00Z,"A man riding an ATV and suspected by authorities of involvement in a fatal shooting led police on a chase through the streets of Philadelphia on Tuesday night, NBC Philadelphia reported. Read more..."
Doing a Job (1982),,2019-11-01T02:44:44Z,Excerpt from a speech Adm. Hyman Rickover (1900-1986) gave at Columbia University in 1982 outlining his leadership style.
Yet More Evidence That Neanderthal Bling Included Eagle Talons,George Dvorsky,2019-11-01T18:00:00Z,"New fossil evidence suggests the Neanderthal practice of collecting eagle talons, which were likely worn as jewelry or used to create powerful symbols, was more extensive than previously thought. Remarkably, the dating of these artifacts suggests modern human…"
150-million-year-old sea monster unearthed in once-tropical Poland - CNET,Rae Hodge,2019-11-05T21:23:00Z,The pliosaur was so insanely massive it could've snacked on a T. rex.
White Supremacists Flee From Emmett Till Memorial While Filming Video,Vanessa Swales,2019-11-05T21:43:36Z,"It’s the latest in a string of incidents involving the Mississippi memorial sign, going back over a decade."
Andrew Yang Has the ‘Yang Gang’ to Thank for His Lasting Primary Power,Lissandra Villa,2019-11-05T15:49:53Z,"Andrew O’Neill, 23, was an early fan of Andrew Yang and his proposal of giving the American people $1,000 a month as a living stipend. So that’s how he ended up at George Mason University in Fairfax, Virginia on Monday night, an hours’ drive away from his hom…"
"More than 11,000 scientists declare global climate emergency in signed letter - Global News",Bob Weber,2019-11-05T16:23:45Z,"More than 11,000 scientists declare global climate emergency in signed letter Global News 11,000 scientists sign declaration of climate emergency CBC.ca Thousands of scientists sign open letter declaring Earth is facing a ‘climate emergency’ The Globe and Mai…"
Report: The Government and Tech Need to Cooperate on AI,Tom Simonite,2019-11-05T12:00:00Z,It also warns that AI-enhanced national security apparatus like autonomous weapons and surveillance systems will raise ethical questions.
Chinese airline executives punished amid photo outrage,Eric Cheung,2019-11-06T10:41:50Z,"Senior executives of a Chinese airline have been disciplined after one of its pilots was found to have allowed a young woman to enter an airplane cockpit mid-flight, sparking concerns over flight safety."
Will Amazon Poach CS Profs Needed To Produce CS Grads Promised For Amazon HQ2?,EditorDavid,2019-11-03T15:34:00Z,"Long-time Slashdot reader theodp writes: To make good on the proposal that snagged it a share of the Amazon HQ2 prize last year, the State of Virginia pledged to produce an additional 25K-35K grads annually with computer science or closely related degrees. An…"
One Bitcoin 'Whale' May Have Fueled the Currency's Price Spike in 2017,msmash,2019-11-05T21:31:00Z,"A single Bitcoin holder -- called a ""whale"" in cryptocurrency parlance -- likely manipulated the market and helped fuel the big rise in Bitcoin's price in 2017, according to researchers. That year, Bitcoin's price jumped from under $1,000 in January to more t…"
Top Civil Rights Lawyers Warn Mark Zuckerberg of Potential Criminal Liability in Scathing Open Letter,Dell Cameron,2019-11-05T18:30:00Z,"In a letter aimed at gutting Facebook’s rationale for allowing misleading and dishonest political ads across its platform, a prominent civil rights organization on Tuesday issued a stern warning to Mark Zuckerberg, outlining a number of federal laws to which,…"
Beto Is Out and Warren’s Way to Pay: This Week in the 2020 Race,Maggie Astor and Matt Stevens,2019-11-02T09:00:08Z,Here’s a rundown of what happened in the Democratic primary race this week.
"If You Want a Robot to Learn Better, Be a Jerk to It",Matt Simon,2019-11-06T12:00:00Z,"When humans give robots “tough love” by trying to knock objects out of their hands, it actually helps them find the best ways to hold things."
Africa's top shots: 25-31 October 2019,https://www.facebook.com/bbcnews,2019-11-01T00:21:15Z,A selection of the week's best photos from across the continent.
"Worst reasons for Trump to quit the Paris climate pact, unranked",Mark Kaufman,2019-11-04T20:50:33Z,"In April 2016, with his granddaughter sitting on his lap, Secretary of State John Kerry signed the historic Paris Agreement on Climate Change. It was a year that would soon become the warmest on record. Although every nation on Earth is a signatory of the his…"
‘It’s Okay to Be White’ Flyers Papered Over University Memorial Commemorating Desegregation,Olivia Messer,2019-11-05T16:19:18Z,"REUTERS/Jim UrquhartThe president of East Tennessee State University condemned a series of “It’s Okay To Be White” flyers that covered parts of the Johnson City campus early Friday morning, including a memorial to the first black students to ever attend the u…"
Virginia’s Legislature Is Up for Grabs. It’s a Referendum on Trump.,Trip Gabriel,2019-11-04T18:44:35Z,"Off-year elections on Tuesday in Virginia, Kentucky and Mississippi will give the president his last multistate report card before 2020."
"Boston, Long Led by White Men, Votes in New Guard",Ellen Barry,2019-11-06T16:40:42Z,Voters backed progressive women and people of color to usher in a City Council more diverse than any in Boston’s history.
Why Banks Pay People to Rob Them,Jordan Harbinger,2019-11-05T21:30:00Z,This short video explains how institutions test their own defenses.
Why is India's pollution much worse than China's?,https://www.facebook.com/bbcnews,2019-11-06T09:08:14Z,"You may think China has Asia's worst pollution - but India, Pakistan and Bangladesh are far worse."
Adobe’s Project Sweet Talk makes portraits come alive,Frederic Lardinois,2019-11-05T22:26:41Z,"One of the most interesting sessions at Adobe MAX is traditionally the Sneaks keynote, where engineers from the company’s various units show off their most cutting-edge work. Sometimes, those turn into products. Sometimes they don’t. These days, a lot of the …"
The McDonald's CEO fired for his relationship with a subordinate has now been ousted as director of an organization promoting women in the workplace,Bill Bostock,2019-11-06T09:48:50Z,"The McDonald's CEO fired Sunday over an office romance has been removed as director of a nonprofit supporting women in the workplace. Lorraine Hariton, CEO of Catalyst, told Business Insider the decision to remove Steve Easterbrook on Tuesday ""was the right t…"
"Even if we hit climate targets, scientists say sea levels will keep rising - CNET",Rae Hodge,2019-11-05T20:07:00Z,A new study details the long-term impact of short-term emissions.
Scrubbing Your House Of Bacteria Could Clear The Way for Fungus,Pien Huang,2019-11-06T16:45:44Z,"A new study in Brazil finds that urban apartments have more diverse fungi — some healthy, some potentially not — than villages in the Amazon rainforest."
"New York's restaurant industry is thriving, proving that raising the minimum wage helps everyone",The Conversation,2019-11-04T15:00:00Z,"Getty Images Nicole Hallett is an associate professor of law at the University at Buffalo, The State University of New Yor k. Hallett says that critics of a minimum wage increase in restaurants said it would result in widespread layoffs and closures. But in N…"
Study: Darwin may have gotten the origin of life wrong,Tristan Greene,2019-11-05T21:01:27Z,"Charles Darwin, according to historical records, was never quite certain about the origin of life. He posited life could have spontaneously formed in a ‘warm pool of water’ with the proper chemical makeup. In lieu of a better explanation, we’ve sort of just g…"
"We asked 17 dietitians what foods they'd take to a desert island, and chocolate is the clear favorite",Anna Medaris Miller,2019-11-05T16:32:00Z,"Insider asked 17 dietitians or dietitians-in-training what three foods they'd bring with them to a desert island. While some considered factors like nutrient intake and variety, most simply picked foods they like. Chocolate, avocados, and nut butters were esp…"
Yale astrophysicist to talk in Halifax tonight about changing ideas of our universe - Truro Daily News,John McPhee,2019-11-01T12:07:41Z,"The Washington Post calculates that the leader of Priyamvada Natarajan’s country had made 13,435 false or misleading claims as of Oct. 9.

In this climate of fact-denial and “fake news,” it’s more important than ever to"
Week in Pictures: 26 October - 1 November 2019,https://www.facebook.com/bbcnews,2019-11-02T01:20:08Z,"A selection of the best news photographs from around the world, taken over the past week."
Palace urges aspiring lawyers to 'rise to the challenge' as Bar exams begin - ABS-CBN News,ABS-CBN News,2019-11-03T04:01:00Z,Palace urges aspiring lawyers to 'rise to the challenge' as Bar exams begin ABS-CBN News Manila police all set for first Sunday of 2019 Bar Exams Rappler Police enhance security at UST day before bar exams ABS-CBN News Over 8000 aspirants take 2019 Bar exams …
Media reacts to FSU firing Willie Taggart - 247Sports,Austin Nivison,2019-11-03T20:44:57Z,"Media reacts to FSU firing Willie Taggart 247Sports Florida State has fired Willie Taggart effective immediately Tomahawk Nation Florida State announces Willie Taggart has been fired, “We had no choice” msnNOW Florida State football fires Willie Taggart Tampa…"
Pakistan embassy in Kabul closes visa section amid tensions,AFP,2019-11-03T19:34:50Z,"Pakistan's embassy in Kabul said Sunday it was indefinitely closing its consular office in the Afghan capital due to security reasons, amid mounting tensions between the neighbouring countries. Closure of the visa section will come as a huge blow for many Afg…"
Liquid Methane Rocket Is Set To Soar,Lewin Day,2019-11-06T00:00:58Z,"Solid rockets are a fun way to get started in rocketry. Brewing up a batch of rocket candy is something achievable even in the home lab, and anyone can give it a go with the right materials. Building a flight-capable liquid-fuelled rocket engine is another th…"
"NTSB Finds Uber Self-Driving Car in Fatal Crash Saw Victim, But Wasn't Programmed to Handle Jaywalkers",Tom McKay,2019-11-06T03:30:00Z,"Federal investigators have determined an Uber self-driving car that killed 49-year-old pedestrian Elaine Herzberg in Tempe, Arizona in March 2018 lacked programming to either recognize or respond to the presence of jaywalkers on the road, Bloomberg reported o…"
Thousands of Scientists Declare a Climate Emergency,"Yessenia Funes on Earther, shared by Andrew Couts to Gizmodo",2019-11-05T15:17:00Z,"It only Tuesday, but more than 11,000 scientists around the world have come together to declare a climate emergency. Their paper, published Tuesday in the journal Bioscience, lays out the science behind this emergency and solutions for how we can deal with it…"
"Over 11,000 scientists declare humanity is facing a 'climate emergency' - CNET",Jackson Ryan,2019-11-05T15:00:00Z,The thunderous warning calls on us to mitigate and reverse the climate crisis.
Diagnostic Gaps: Skin Comes In Many Shades And So Do Rashes,Deena Prichep,2019-11-04T10:00:33Z,"Google ""rash"" online, and you'll mostly turn up photos of inflamed bumps on white skin. That's not so helpful for people of color, says a mom who's pushing for a more realistic diversity of images."
Differences in human and non-human primate saliva may be caused by diet,,2019-11-01T12:20:05Z,"Humans are known to be genetically similar to our primate relatives. But major differences can be found in our saliva, according to new research by scientists at the Forsyth Institute and the University of Buffalo."
"Over 11,000 scientists from around the world declare a 'climate emergency'",Natasha Pinon,2019-11-05T16:39:41Z,"A new study signed by more than 11,000 scientists in 153 countries supports the use of the term ""climate emergency,"" a phrase more commonly heard in the calls of climate activists, according to the Washington Post. This is the first time that a group of scien…"
A health system hidden in the heart of Pennsylvania is offering free tuition to its medical students to fix one of the biggest problems in healthcare,Lydia Ramsey,2019-11-06T15:00:00Z,"There's a looming shortage of primary care doctors in the US, in part because of how much less they're paid compared to doctors in more specialized areas of medicine. To remedy that, medical schools have been exploring ways to provide free tuition to relieve …"
Judge blocks Trump rule requiring prospective immigrants have health insurance,Reuters Editorial,2019-11-02T22:57:04Z,"A federal judge in Oregon on Saturday temporarily blocked a Trump administration proclamation that would have required prospective immigrants to prove they would have U.S. health insurance within 30 days of their arrival or enough money to pay for ""reasonably…"
Lori Loughlin has pleaded not guilty to a 3rd charge in the college admissions scandal,Kelly McLaughlin,2019-11-01T19:25:32Z,"Lori Loughlin and her husband, Mossimo Giannulli, pleaded not guilty to a bribery charge in the college admissions scandal, according to court documents filed in Boston federal court on Friday. They were among 11 parents charged with bribery in the scandal in…"
Design Job: Share Your Knowledge on Dynamic Global Teams as an Adjunct Professor for Carnegie Mellon University,Coroflot Jobs,2019-11-06T13:39:00Z,"The Integrated Innovation Institute (III) at Carnegie Mellon University's Silicon Valley campus in Mountain View, CA seeks an adjunct professor for the Dynamic Global Teams course in the spring 2020 term, Mini 3 – January to March 2020. This position would te…"
Space Photos of the Week: The Jupiter Chronicles,Shannon Stirone,2019-11-02T14:00:00Z,The fifth planet from the Sun still looms large in our imagination—45 years after we first saw it up close.
Stray puppy found in rural backyard is actually a pure-bred dingo,"Ben Westcott, CNN",2019-11-04T05:42:19Z,"A miracle puppy who was found in a rural Australian backyard after possibly being dropped by a bird of prey has been discovered to be a pure-bred dingo, to the joy of conservationists."
The Internet Archive Is Making Wikipedia More Reliable,Klint Finley,2019-11-03T12:00:00Z,The operator of the Wayback Machine allows Wikipedia's users to check citations from books as well as the web.
"Free Tools Boost 2020 Election Security, But Not Enough",Lily Hay Newman,2019-11-03T12:00:00Z,More companies than ever are offering low-cost security services for election bureaus and campaigns. It’s still not clear how much they’ll actually help.
The universe might not be flat (it could actually be curved like an inflating ball) - Yahoo Sports,,2019-11-05T20:42:00Z,The universe might not be flat (it could actually be curved like an inflating ball) Yahoo Sports The Universe Might Be a Giant Loop Livescience.com This Is Why Dark Energy Is The Biggest Unsolved Problem In The Universe Forbes Wild New Study Suggests The Univ…
NASA probe provides insight on solar system's border with interstellar space - Ottawa Citizen,,2019-11-05T20:09:42Z,WASHINGTON — The journey of NASA’s dauntless Voyager 2 spacecraft through our solar system’s farthest reaches has given scientists new insight into a poorly understood distant fro…
Krispy Kreme told a US student who traveled 270 miles every weekend to buy hundreds of its donuts to stop reselling them in his hometown,Associated Press,2019-11-04T10:49:00Z,Shawn Patrick Ouellette/Portland Portland Press Herald via Getty Images Krispy Kreme told 21-year-old Jayson Gonzalez to stop reselling its donuts in his hometown. Gonzalez drove 270 miles each weekend to buy hundreds of donuts from a Krispy Kreme store in Io…
Vaping is still on the rise in high schools,Justine Calma,2019-11-05T14:00:00Z,"One in four high schoolers and one in ten middle schoolers have tried vaping in the last 30 days, according to the 2019 National Youth Tobacco Survey released today. Another survey found that mint was the most popular flavor for Juul users in eighth through 1…"
The science of zombies: Will the undead rise? - ABS-CBN News,"Issam Ahmed, Agence France-Presse",2019-11-01T01:31:00Z,There are in fact a growing number of documented examples in the animal kingdom of parasites that change their hosts' behavior -- and increasing evidence that humans are not immune to manipulations that are arguably zombie-like.
"A single cryptocurrency whale caused Bitcoin’s 2017 bull run, research claims",Yessi Bello Perez,2019-11-04T09:47:07Z,"The same academic who, last year claimed that Bitcoin‘s 2017 bull run was sparked by market manipulation, is now saying that the cryptocurrency‘s astronomical surge was caused by a single individual. One single whale on cryptocurrency exchange Bitfinex was re…"
AP FACT CHECK: Trump's wildfire tweets not grounded in facts,SETH BORENSTEIN,2019-11-05T22:11:31Z,President Donald Trump is scorching the facts about California's wildfires. The president in recent tweets blamed California and Democratic Gov. Gavin Newsom for the fires because of state forest management practices and said California's fires were too expen…
Teacher saves caged puppy from drowning in Illinois lake,Associated Press,2019-11-04T19:57:15Z,"Bryant Fritz, who teaches middle school science at Next Generation School in Champaign, was preparing to fish Saturday when he found a black and white puppy submerged in rising water and trapped inside of a dog crate in Kaufman Lake. Fritz told The News-Gazet…"
"Over 11,000 scientists around the world declare a 'climate emergency'","Doyle Rice, USA TODAY",2019-11-05T21:33:55Z,"“Scientists have a moral obligation to warn humanity of any great threat....From the data we have, it is clear we are facing a climate emergency.”"
Vikings killed off Iceland’s walruses,Kiona N. Smith,2019-11-04T14:24:29Z,Ancient DNA says the extinct Icelandic walruses were a genetically distinct population.
National-scale study shows that invasive grasses promote wildfire,Science X staff,2019-11-04T20:00:03Z,"In a first national-scale analysis, ecologists at the University of Massachusetts Amherst, with colleagues at the University of Colorado-Boulder, report that across the United States, invasive grasses can double the number of fires."
Outsourced workers to strike at University College London,Al Jazeera,2019-11-06T14:54:44Z,"Nearly 300 cleaners, porters and security officers will withhold their labour in a row over zero-hours contracts."
Lasers can silently issue 'voice commands' to your smart speakers,Mariella Moon,2019-11-05T07:07:00Z,"Laser pointers can apparently trick smart speakers, phones and tablets into following voice commands to open doors or make purchases, even from hundreds of feet away. Researchers from Tokyo and the University of Michigan have revealed that they were..."
"Decision to deploy genetically modified mosquitoes not made responsibly, researchers say - HalifaxToday.ca",The Conversation,2019-10-14T15:53:00Z,"Decision to deploy genetically modified mosquitoes not made responsibly, researchers say HalifaxToday.ca"
Scientist faces criticism on red meat study - Waterloo Chronicle,,2019-10-06T03:06:46Z,Scientist faces criticism on red meat study Waterloo Chronicle View full coverage on Google News
"No, beef isn't bad for you: Scientists conclude there is no need to eat less red or processed meat - The Telegram",Sharon Kirkey,2019-10-05T19:44:25Z,"No, beef isn't bad for you: Scientists conclude there is no need to eat less red or processed meat The Telegram Red Meat Not So Bad For You After All Mother Jones Mis-steak: Researchers find red meat, processed food not as bad for health as previously thought…"
Study: red meat not so bad? - Canada News - Castanet.net,,2019-10-06T13:55:00Z,A Canadian researcher who co-led a study that challenges well-worn advice to limit meat consumption has responded to criticisms he should have disclosed past ties to the global meat and food industry.
Experts say zero-tolerance policies aimed at stopping bullying aren’t working - Global News,Michelle McQuigge,2019-10-11T01:27:52Z,"Experts say zero-tolerance policies aimed at stopping bullying aren’t working Global News Zero-tolerance policies aimed at stopping bullying not working, experts say CBC.ca Zero-tolerance policies aimed at stopping bullying not working, say experts CTV News V…"
Should you keep eating red meat? - Jordan Times,,2019-10-06T19:53:15Z,"By Ryan W. MillerShould you stop eating red meat for health reasons?That’s the question rocking the nutrition and scientific community after guidelines published in a peer-reviewed journal said people should continue eating red meat, running counter to what m…"
Do You Really Need to Eat Less Red Meat? - Everyday Health,Becky Upham,2019-10-08T01:41:24Z,"New guidelines suggest there isn’t enough evidence to recommend cutting back on red meat to prevent heart disease, diabetes, and early death. But several scientists disagree with the controversial findings. Learn more about the analysis here."
"In 2015, Justin Trudeau declared ‘Canada is back’— so where are we now? - Global News",Rachel Browne,2019-10-20T11:00:32Z,"In 2015, Justin Trudeau declared ‘Canada is back’— so where are we now? Global News In 2019, Justin Trudeau has baggage - and faces a very different political landscape CBC.ca Jeered and cheered in Calgary, Trudeau spends final day of campaign in B.C. CTV New…"
Too much milk: Two nations’ travails with dairy policy,Laurent Belsie,2019-10-16T11:09:27Z,The U.S. has embraced exports. Canada keeps them out to manage its milk supply. Global markets pose a challenge to both.
"The Green Leader's great expectations: How Elizabeth May nearly quit after 2015, but stayed for a showdown on climate change - The Globe and Mail",,2019-10-17T00:19:33Z,"The Green Leader's great expectations: How Elizabeth May nearly quit after 2015, but stayed for a showdown on climate change The Globe and Mail Elizabeth May says minority government likely on Monday CBC.ca Green Leader Elizabeth May predicts Canadians will e…"
Better Battery Management Through Chemistry,Bob Baddeley,2019-10-07T14:01:51Z,"The lead-acid rechargeable battery is a not-quite-modern marvel. Super reliable and easy to use, charging it is just a matter of applying a fixed voltage to it and waiting a while; eventually the battery is charged and stays topped off, and that’s it. Their e…"
研究：紅肉對健康威脅極小 到底該不該多吃紅肉？,BBC News 中文,2019-10-08T03:21:34Z,你可能已經很熟悉紅肉影響人體健康的各種理論，但近日一項研究卻因相反結論引起爭議。據BBC健康與科學事務編輯詹姆斯·加拉格（James Gallagher）報道，這項研究指出，對大多數人而言，減少香腸、肉末、牛排或各種紅肉及加工肉的攝入恐怕是浪費時間。
"From dementia to medically assisted death: A Canadian woman's journey, and the dilemma of the doctors who helped - The Globe and Mail",,2019-10-12T11:58:54Z,"To give Alzheimer’s patient Mary Wilson the death she sought, her physicians had to make a tough decision in a short time – and risked going to prison if they got it wrong. Now they’ve been cleared of wrongdoing in a decision that could have wide-reaching imp…"
Put down the self-help books. Resilience is not a DIY endeavour,Michael Ungar,2019-10-26T05:37:19Z,Research shows that resilience depends more on what we receive than what we have within us
Tesla neemt Canadese accufabrikant Hibar Systems over,Michel van der Ven,2019-10-07T08:12:54Z,"Tesla heeft Hibar Systems overgenomen, een Canadese fabrikant van accu’s voor elektrische voertuigen, laptops en andere toepassingen. De acquisitie versterkt de vermoedens dat Tesla zelf in de accucelproductie gaat stappen, om minder afhankelijk te zijn van a…"
A Million-Mile Electric Car Battery? Musk Wasn’t Lying,Irina Slav,2019-10-07T08:50:01Z,"When earlier this year Tesla’s Elon Musk said the company could soon have batteries lasting for over one million miles, many probably took it as yet another grand promise with less substance than realism requires. Now it seems Musk may … The post A Million-Mi…"
We need to understand the culture of whales so we can save them,Felicia Vachon,2019-10-23T06:30:01Z,Do animals have their own culture? A researcher studying whales argues that they do
Tesla buys Ontario-based battery manufacturing company Hibar Systems,Brad Bennett,2019-10-07T20:36:01Z,"Tesla has quietly bought the Richmond Hill, Ontario battery manufacturing company Hibar Systems to use its knowledge in battery manufacturing. Public records show that the EV manufacturer bought the battery company sometime between July and October of 2019, a…"
Corals destroyed by climate change can regrow from the skeletons left behind,By Ian Randall For Mailonline,2019-10-10T14:09:15Z,Experts from the Free University of Berlin and the University of Barcelona monitored 243 colonies of corals in the Mediterranean Sea across a period of 16 years.
